1836B Editor,https://codeforces.com/problemset/problem/1263/E,"data structures,implementation",Codeforces
Second Minimum Time to Reach Destination,https://leetcode.com/problems/second-minimum-time-to-reach-destination,"Breadth-First Search, Graph, Shortest Path",LeetCode
Ternary Expression Parser,https://leetcode.com/problems/ternary-expression-parser,"Recursion, Stack, String",LeetCode
1826A Matryoshkas,https://codeforces.com/problemset/problem/1790/D,"data structures,greedy,sortings",Codeforces
1832D1 Balanced Domino Placements,https://codeforces.com/problemset/problem/1237/F,"combinatorics,dp",Codeforces
1832A Ideal Point,https://codeforces.com/problemset/problem/1795/B,"brute force,geometry,greedy",Codeforces
1832B GCD Table,https://codeforces.com/problemset/problem/582/A,"constructive algorithms,greedy,number theory",Codeforces
Strobogrammatic Number II,https://leetcode.com/problems/strobogrammatic-number-ii,"Array, Recursion, String",LeetCode
1827C Tetris revisited,https://codeforces.com/problemset/problem/86/B,"constructive algorithms,graph matchings,greedy,math",Codeforces
1829G Serge and Dining Room,https://codeforces.com/problemset/problem/1179/C,"binary search,data structures,graph matchings,greedy,implementation,math,trees",Codeforces
1827F Difference of GCDs,https://codeforces.com/problemset/problem/1708/B,"constructive algorithms,math",Codeforces
1835D Find Marble,https://codeforces.com/problemset/problem/285/B,implementation,Codeforces
Sort Integers by The Power Value,https://leetcode.com/problems/sort-integers-by-the-power-value,"Dynamic Programming, Memoization, Sorting",LeetCode
Immediate Food Delivery I,https://leetcode.com/problems/immediate-food-delivery-i,Database,LeetCode
Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,"Array, Bit Manipulation, Hash Table, Trie",LeetCode
1841E Simple Cycles Edges,https://codeforces.com/problemset/problem/962/F,"dfs and similar,graphs,trees",Codeforces
Jump Game VII,https://leetcode.com/problems/jump-game-vii,"Prefix Sum, String, Two Pointers",LeetCode
1833F Oh Those Palindromes,https://codeforces.com/problemset/problem/1063/A,"constructive algorithms,strings",Codeforces
1841D Nauuo and Chess,https://codeforces.com/problemset/problem/1173/B,"constructive algorithms,greedy",Codeforces
1836A Generate Bell state,https://codeforces.com/problemset/problem/1001/B,*special problem,Codeforces
1829B Sereja and Sets,https://codeforces.com/problemset/problem/425/E,dp,Codeforces
1840G2 Figure Fixing,https://codeforces.com/problemset/problem/1537/F,"constructive algorithms,dfs and similar,dsu,graphs,greedy,math",Codeforces
1843D The King's Race,https://codeforces.com/problemset/problem/1075/A,"implementation,math",Codeforces
1832A Ladder,https://codeforces.com/problemset/problem/279/C,"dp,implementation,two pointers",Codeforces
Jump Game VIII,https://leetcode.com/problems/jump-game-viii,"Array, Dynamic Programming, Graph, Monotonic Stack, Shortest Path, Stack",LeetCode
